ID,cityName
1cty,Albrechts bei Suhl
2cty,Allersdorf bei Ilmenau
3cty,Altenfeld bei Ilmenau
4cty,Alt Necheln
5cty,Aschenhausen
6cty,Beichlingen
7cty,Below bei Röbel
8cty,Beuna (Geiseltal)
9cty,Böhlen
10cty,Brunnhartshausen
11cty,Deuna
12cty,Diedorf bei Bad Salzungen
13cty,Dietzhausen
14cty,Eckardtshausen
15cty,Förtha
16cty,Friedersdorf
17cty,Fürnsbach
18cty,Gehaus
19cty,Gehlberg
20cty,Gerterode bei Niederorschel
21cty,Geusa
22cty,Gillersdorf
23cty,Gischow
24cty,Golchen bei Sternberg
25cty,Grabow bei Röbel
26cty,Hausen
27cty,Heidesheim am Rhein
28cty,Herschdorf bei Ilmenau
29cty,Hümpfershausen
30cty,Hundeshagen
31cty,Kallmerode
32cty,Kaltensundheim
33cty,Kaltenwestheim
34cty,Keez
35cty,Kleinbartloff
36cty,Kummerow bei Stralsund
37cty,Leussow bei Ludwigslust
38cty,Ludorf
39cty,Marksuhl
40cty,Massow
41cty,Melpers
42cty,Metzels
43cty,Neidhartshausen
44cty,Neu Bartelshagen
45cty,Neu Necheln
46cty,Neustadt am Rennsteig
47cty,Oberkatz
48cty,Oepfershausen
49cty,Petersdorf bei Strasburg
50cty,Schmiedefeld am Rennsteig
51cty,Setzin
52cty,Spitzkunnersdorf
53cty,Stadtlengsfeld
54cty,Thurow bei Sternberg
55cty,Unterkatz
56cty,Unterweid
57cty,Urnshausen
58cty,Vesser
59cty,Vipperow
60cty,Wackernheim
61cty,Wahns
62cty,Wambacherhof
63cty,Wichtshausen
64cty,Wildenspring
65cty,Willmersdorf bei Ilmenau
66cty,Wolfsburg-Unkeroda
67cty,Wredenhagen
68cty,Zella bei Bad Salzungen
69cty,Zepkow
70cty,Oberweißbach /Thüringer Wald
71cty,Frankenroda
72cty,Glasehausen
73cty,Hirzlei
74cty,Penkow
75cty,Rieth bei Torgelow
76cty,Voigtsdorf bei Freiberg
77cty,Wolfsgrund
78cty,Hohes Kreuz
79cty,Appen
80cty,Barmstedt
81cty,Burg (Dithmarschen)
82cty,Ellerau
83cty,Elmshorn
84cty,Fahrdorf
85cty,Garding
86cty,Halstenbek
87cty,Hanerau-Hademarschen
88cty,Kampen (Sylt)
89cty,Kellenhusen (Ostsee)
90cty,Laboe
91cty,List auf Sylt
92cty,Malente
93cty,Nordhastedt
94cty,Nordstrand
95cty,Pellworm
96cty,Reinfeld (Holstein)
97cty,St. Michaelisdonn
98cty,Schafflund
99cty,Stockelsdorf
100cty,Tellingstedt
101cty,Wenningstedt-Braderup (Sylt)
102cty,Wesselburen
103cty,Wilster
104cty,Asendorf bei Bruchhausen-Vilsen
105cty,Bad Bodenteich
106cty,Bad Nenndorf
107cty,Barsinghausen
108cty,Calberlah
109cty,Clenze
110cty,Cremlingen
111cty,Dassel
112cty,Diekholzen
113cty,Giesen bei Hildesheim
114cty,Hechthausen
115cty,Kalefeld
