ID,firstName
1fn,Peter
2fn,Wolfgang
3fn,Michael
4fn,Werner
5fn,Klaus
6fn,Thomas
7fn,Manfred
8fn,Helmut
9fn,Jürgen
10fn,Heinz
11fn,Gerhard
12fn,Andreas
13fn,Hans
14fn,Josef
15fn,Günter
16fn,Dieter
17fn,Horst
18fn,Walter
19fn,Frank
20fn,Bernd
21fn,Karl
22fn,Herbert
23fn,Franz
24fn,Martin
25fn,Uwe
26fn,Georg
27fn,Heinrich
28fn,Stefan
29fn,Christian
30fn,Karl-Heinz
31fn,Rudolf
32fn,Kurt
33fn,Hermann
34fn,Johann
35fn,Wilhelm
36fn,Siegfried
37fn,Rolf
38fn,Joachim
39fn,Alfred
40fn,Rainer
41fn,Jörg
42fn,Ralf
43fn,Erich
44fn,Norbert
45fn,Bernhard
46fn,Willi
47fn,Alexander
48fn,Ulrich
49fn,Markus
50fn,Matthias
51fn,Harald
52fn,Paul
53fn,Roland
54fn,Ernst
55fn,Reinhard
56fn,Günther
57fn,Gerd
58fn,Fritz
59fn,Otto
60fn,Friedrich
61fn,Erwin
62fn,Lothar
63fn,Robert
64fn,Dirk
65fn,Johannes
66fn,Volker
67fn,Wilfried
68fn,Richard
69fn,Anton
70fn,Jens
71fn,Hans-Jürgen
72fn,Hubert
73fn,Udo
74fn,Holger
75fn,Albert
76fn,Ludwig
77fn,Dietmar
78fn,Hartmut
79fn,Reinhold
80fn,Hans-Joachim
81fn,Adolf
82fn,Detlef
83fn,Oliver
84fn,Christoph
85fn,Stephan
86fn,Axel
87fn,Reiner
88fn,Alois
89fn,Eberhard
90fn,Waldemar
91fn,Heiko
92fn,Daniel
93fn,Torsten
94fn,Sven
95fn,Bruno
96fn,Olaf
97fn,Mario
98fn,Konrad
99fn,Steffen
100fn,Ingo
101fn,Jochen
102fn,Thorsten
103fn,Max
104fn,Alfons
105fn,Rüdiger
106fn,Carsten
107fn,Viktor
108fn,Hans-Peter
109fn,Rudi
110fn,Friedhelm
111fn,Armin
112fn,Jan
113fn,Lutz
114fn,Ewald
115fn,Winfried
116fn,Egon
117fn,Erhard
118fn,Sebastian
119fn,Jakob
120fn,Marco
121fn,Harry
122fn,Eduard
123fn,Eugen
124fn,Karlheinz
125fn,Andre
126fn,Klaus-Dieter
127fn,Achim
128fn,Karsten
129fn,Edgar
130fn,Claus
131fn,Hans-Dieter
132fn,Tobias
133fn,Theo
134fn,Mathias
135fn,Gottfried
136fn,Emil
137fn,Guido
138fn,Arno
139fn,Marc
140fn,Eckhard
141fn,Marcus
142fn,Gustav
143fn,Florian
144fn,Dietrich
145fn,Theodor
146fn,Berthold
147fn,Burkhard
148fn,Rene
149fn,Artur
150fn,August
151fn,Edmund
152fn,Arnold
153fn,Franz-Josef
154fn,Lars
155fn,Patrick
156fn,Willy
157fn,Ferdinand
158fn,Gerald
159fn,Ralph
160fn,Hans-Georg
161fn,Fred
162fn,Leo
163fn,Bodo
164fn,Hugo
165fn,Philipp
166fn,Klaus-Peter
167fn,Ronald
168fn,Maik
169fn,Oskar
170fn,Mike
171fn,David
172fn,Gert
173fn,Roman
174fn,Björn
175fn,Wolfram
176fn,Hans-Werner
177fn,Arthur
178fn,Gregor
179fn,Henning
180fn,Nikolaus
181fn,Marcel
182fn,Felix
183fn,Elmar
184fn,Edwin
185fn,Gunter
186fn,Heribert
187fn,Leonhard
188fn,Adam
189fn,Raimund
190fn,Manuel
191fn,Albrecht
192fn,Clemens
193fn,Ludger
194fn,Henry
195fn,Heiner
196fn,Ulf
197fn,Timo
198fn,Antonio
199fn,Lorenz
200fn,Benjamin
201fn,Detlev
202fn,Mark
203fn,Dennis
204fn,Oswald
205fn,Simon
206fn,Benno
207fn,Engelbert
208fn,Ronny
209fn,Mehmet
210fn,Xaver
211fn,Jörn
212fn,Ali
213fn,Gerold
214fn,Toni
215fn,Helmuth
216fn,Christof
217fn,Sergej
218fn,Volkmar
219fn,Mirko
220fn,Tim
221fn,André
222fn,Marko
223fn,Gernot
224fn,Boris
225fn,Hans-Jörg
226fn,Vladimir
227fn,Mustafa
228fn,Knut
229fn,Willibald
230fn,Dominik
231fn,Hans-Ulrich
232fn,Ottmar
233fn,Hubertus
234fn,Giuseppe
235fn,Heinz-Dieter
236fn,Otmar
237fn,Heino
238fn,Enrico
239fn,Siegmund
240fn,Julius
241fn,Hendrik
242fn,Hans-Günter
243fn,Alwin
244fn,Heinz-Jürgen
245fn,René
246fn,Hartwig
247fn,Erik
248fn,Nils
249fn,Klemens
250fn,Wladimir
251fn,Helge
252fn,Hans-Josef
253fn,Ivan
254fn,Roger
255fn,Siegbert
256fn,Hilmar
257fn,Maximilian
258fn,Falk
259fn,Valentin
260fn,Gunther
261fn,Rupert
262fn,Hans-Hermann
263fn,Arne
264fn,Ingolf
265fn,Gunnar
266fn,Karl
267fn,Hermann-Josef
268fn,Thilo
269fn,Adalbert
270fn,Alex
271fn,Tino
272fn,Andrej
273fn,Salvatore
274fn,Hans-Heinrich
275fn,Nico
276fn,Eric
277fn,Konstantin
278fn,Ahmet
279fn,Joseph
280fn,Hinrich
281fn,Egbert
282fn,Fabian
283fn,Hasan
284fn,Ekkehard
285fn,Marian
286fn,Hansjörg
287fn,Christopher
288fn,Francesco
289fn,Hagen
290fn,Silvio
291fn,Wolf
292fn,Siegmar
293fn,Nikolai
294fn,Klaus-Jürgen
295fn,John
296fn,Heinz-Peter
297fn,Georgios
298fn,Bert
299fn,Benedikt
300fn,Gisbert
301fn,Adrian
302fn,Leopold
303fn,Karl-Josef
304fn,Giovanni
305fn,Eckart
306fn,Igor
307fn,Tilo
308fn,Ibrahim
309fn,Reimund
310fn,Aloys
311fn,Marek
312fn,Carl
313fn,Gebhard
314fn,Ullrich
315fn,Wolf-Dieter
316fn,Juri
317fn,Gotthard
318fn,Hüseyin
319fn,Hanni
320fn,Roberto
321fn,Bertram
322fn,Henrik
323fn,Hans-Gerd
324fn,Hans
325fn,Hannes
326fn,Dimitrios
327fn,Albin
328fn,Hans
329fn,Arnd
330fn,Hans-Otto
331fn,Arndt
332fn,Victor
333fn,Uli
334fn,Friedrich-Wilhelm
335fn,Sönke
336fn,Horst-Dieter
337fn,Hans-Günther
338fn,Bastian
339fn,Vincenzo
340fn,Ismail
341fn,Norman
342fn,Heinz-Josef
343fn,Karl-Friedrich
344fn,Denis
345fn,Marius
346fn,Antonius
347fn,Frieder
348fn,Ansgar
349fn,Angelo
350fn,Tom
351fn,Rolf-Dieter
352fn,Harri
353fn,Malte
354fn,Rico
355fn,Götz
356fn,Reinhardt
357fn,Hellmut
358fn,Bernard
359fn,Pascal
360fn,Falko
361fn,Fridolin
362fn,Anatoli
363fn,Milan
364fn,Eckard
365fn,Rafael
366fn,Moritz
367fn,Friedbert
368fn,Murat
369fn,Kai-Uwe
370fn,Hardy
371fn,Sören
372fn,Hans-Martin
373fn,Vitali
374fn,Jose
375fn,Heinz-Günter
376fn,Luigi
377fn,Julian
378fn,Henryk
379fn,Heinz-Werner
380fn,Klaus
381fn,Edward
382fn,Burghard
383fn,Ortwin
384fn,Hans-Walter
385fn,Christos
386fn,Konstantinos
387fn,Pierre
388fn,Philip
389fn,Kaspar
390fn,Kevin
391fn,Gabriel
392fn,Leonid
393fn,Hans-Wilhelm
394fn,Friedemann
395fn,Hanno
396fn,Kuno
397fn,Osman
398fn,Niels
399fn,Herwig
400fn,Dierk
401fn,Meinolf
402fn,Emanuel
403fn,Nikola
404fn,Fredi
405fn,Meinhard
406fn,Carlo
407fn,Claus-Dieter
408fn,Guenter
409fn,Cornelius
410fn,Raphael
411fn,Hanspeter
412fn,Gero
413fn,Andy
414fn,Mohamed
415fn,Torben
416fn,Domenico
417fn,Josip
418fn,Hans-J.
419fn,Diethelm
420fn,Swen
421fn,Eckehard
422fn,Till
423fn,Lukas
424fn,Berndt
425fn,Enno
426fn,Nikolaos
427fn,Hans
428fn,Jens-Uwe
429fn,Michel
430fn,Franz
431fn,Vinzenz
432fn,Sigurd
433fn,Nikolaj
434fn,Stanislaw
435fn,Gottlieb
436fn,Andree
437fn,Wulf
438fn,Diethard
439fn,Robin
440fn,Carlos
441fn,Veit
442fn,Franco
443fn,Heinz-Georg
444fn,Nicolas
445fn,Ivo
446fn,Dimitri
447fn,Danny
448fn,Jonas
449fn,Steven
450fn,Andrzej
451fn,Karl-Otto
452fn,Walther
453fn,Klaus
454fn,Harro
455fn,Janusz
456fn,Hans-Christian
457fn,Sandro
458fn,Hans-Jochen
459fn,Eckhardt
460fn,Jost
461fn,Karl-Wilhelm
462fn,Yusuf
463fn,Wenzel
464fn,Bogdan
465fn,Guiseppe
466fn,Gilbert
467fn,Ernst-August
468fn,Ehrenfried
469fn,Ignaz
470fn,Wieland
471fn,Hans
472fn,Karl-Ludwig
473fn,Karl-Ernst
474fn,Hellmuth
475fn,Darius
476fn,Karl-Heinrich
477fn,Magnus
478fn,Helmar
479fn,Metin
480fn,Arnulf
481fn,Mirco
482fn,Juergen
483fn,Miroslaw
484fn,Sigmund
485fn,Claus-Peter
486fn,Claudio
487fn,Pietro
488fn,William
489fn,Heinz-Joachim
490fn,Jonas
491fn,Halil
492fn,Ramazan
493fn,Ahmed
494fn,Hanns
495fn,Miroslav
496fn,Piotr
497fn,Peer
498fn,Helfried
499fn,Hans
500fn,Samuel
501fn,Jerzy
502fn,Karl-Hermann
503fn,Kemal
504fn,Dragan
505fn,Mohammad
506fn,Heini
507fn,Hans-Willi
508fn,Jacek
509fn,Zbigniew
510fn,Rocco
511fn,Ioannis
512fn,Otfried
513fn,Gordon
514fn,James
515fn,Bernward
516fn,Joerg
517fn,Bertold
518fn,Meinrad
519fn,Gerhardt
520fn,Conrad
521fn,Francisco
522fn,Hasso
523fn,Zoran
524fn,Wolf-Rüdiger
