ID,neighborhoodName
1nbr,Gemeinde St. Kilian
2nbr,Spitzkunnersdorf
3nbr,Beuna
4nbr,Atzendorf
5nbr,Blösien
6nbr,Geusa
7nbr,Zscherben
8nbr,Nennigmühle
9nbr,Wernitz
10nbr,Gneve
11nbr,Ludorf
12nbr,Zielow
13nbr,Solzow
14nbr,Vipperow
15nbr,Below
16nbr,Grabow
17nbr,Zepkow
18nbr,Evchensruh
19nbr,Massow
20nbr,Neukrug
21nbr,Wredenhagen
22nbr,Petersdorf
23nbr,Buschenhagen
24nbr,Kummerow
25nbr,Kummerow Heide
26nbr,Lassentin
27nbr,Neu Bartelshagen
28nbr,Wüstenhagen
29nbr,Zühlendorf
30nbr,Grünhof
31nbr,Ruhethal
32nbr,Schwaberow
33nbr,Setzin
34nbr,Rosien
35nbr,Bohldamm
36nbr,Vockfey
37nbr,Groß Banratz
38nbr,Göhlen
39nbr,Kavelmoor
40nbr,Leussow
41nbr,Burow
42nbr,Gischow
43nbr,Brüel
44nbr,Alt Necheln
45nbr,Neu Necheln
46nbr,Keez
47nbr,Golchen
48nbr,Thurow
49nbr,Lindewitt
50nbr,Neuende
51nbr,Langenhagen
52nbr,Alt-Langenhagen
53nbr,Aschenhausen
54nbr,Kaltensundheim
55nbr,Kaltenwestheim
56nbr,Melpers
57nbr,Oberkatz
58nbr,Unterweid
59nbr,Brunnhartshausen
60nbr,Föhlritz
61nbr,Steinberg
62nbr,Bernshausen
63nbr,Urnshausen
64nbr,Neidhartshausen
65nbr,Zella
66nbr,Stadtlengsfeld
67nbr,Gehaus
68nbr,Diedorf
69nbr,Beinrode
70nbr,Kallmerode
71nbr,Hundeshagen
72nbr,Hausen
73nbr,Gerterode
74nbr,Deuna
75nbr,Kleinbartloff
76nbr,Reifenstein
77nbr,Vollenborn
78nbr,Osterwald
79nbr,Ingelheim
80nbr,Heidesheim
81nbr,Wackernheim
82nbr,Innenstadt
83nbr,Gschwendt
84nbr,Unterlohe
85nbr,Fürnsbach
86nbr,Halden
87nbr,Mindeltal
88nbr,Maierhof
89nbr,Mayerhof
90nbr,Markt Höchberg
91nbr,Schmiedefeld
92nbr,Gehlberg
93nbr,Stadt Schleusingen
94nbr,Vesser
95nbr,Dietzhausen
96nbr,Wichtshausen
97nbr,Albrechts
98nbr,Gemeinde Suhl
99nbr,Wasungen
100nbr,Metzels
101nbr,Oepfershausen
102nbr,Hümpfershausen
103nbr,Wahns
104nbr,Unterkatz
105nbr,Dörrensolz
106nbr,Mittelsdorf
107nbr,Großbreitenbach
108nbr,Allersdorf
109nbr,Friedersdorf
110nbr,Böhlen
111nbr,Altenfeld
112nbr,Gillersdorf
113nbr,Wildenspring
114nbr,Neustadt
115nbr,Herschdorf
116nbr,Willmersdorf
117nbr,Schleusingen
118nbr,Altenbeichlingen
119nbr,Beichlingen
120nbr,Lindigshof
121nbr,Marksuhl
122nbr,Burkhardtroda
123nbr,Förtha
124nbr,Wolfsburg-Unkeroda
125nbr,Eckardtshausen
126nbr,Gemeinde St. Kilian                          
127nbr,Spitzkunnersdorf                        
128nbr,Beuna                                   
129nbr,Atzendorf                               
130nbr,Blösien                                 
131nbr,Geusa                                   
132nbr,Zscherben                               
133nbr,Nennigmühle                             
134nbr,Wernitz                                 
135nbr,Gneve                                   
136nbr,Ludorf                                  
137nbr,Zielow                                  
138nbr,Solzow                                  
139nbr,Vipperow                                
140nbr,Below                                   
141nbr,Grabow                                  
142nbr,Zepkow                                  
143nbr,Evchensruh                              
144nbr,Massow                                  
145nbr,Neukrug                                 
146nbr,Wredenhagen                             
147nbr,Petersdorf                              
148nbr,Buschenhagen                            
149nbr,Kummerow                                
150nbr,Kummerow Heide                          
151nbr,Lassentin                               
152nbr,Neu Bartelshagen                        
153nbr,Wüstenhagen                             
154nbr,Zühlendorf                              
155nbr,Grünhof                                 
156nbr,Ruhethal                                
157nbr,Schwaberow                              
158nbr,Setzin                                  
159nbr,Rosien                                  
160nbr,Bohldamm                                
161nbr,Vockfey                                 
162nbr,Groß Banratz                            
163nbr,Göhlen                                  
164nbr,Kavelmoor                               
165nbr,Leussow                                 
166nbr,Burow                                   
167nbr,Gischow                                 
168nbr,Brüel                                   
169nbr,Alt Necheln                             
170nbr,Neu Necheln                             
171nbr,Keez                                    
172nbr,Golchen                                 
173nbr,Thurow                                  
174nbr,Lindewitt                               
175nbr,Neuende                                 
176nbr,Langenhagen                             
177nbr,Alt-Langenhagen                         
178nbr,Aschenhausen                            
179nbr,Kaltensundheim                          
180nbr,Kaltenwestheim                          
181nbr,Melpers                                 
182nbr,Oberkatz                                
183nbr,Unterweid                               
184nbr,Brunnhartshausen                        
185nbr,Föhlritz                                
186nbr,Steinberg                               
187nbr,Bernshausen                             
188nbr,Urnshausen                              
189nbr,Neidhartshausen                         
190nbr,Zella                                   
191nbr,Stadtlengsfeld                          
192nbr,Gehaus                                  
193nbr,Diedorf                                 
194nbr,Beinrode                                
195nbr,Kallmerode                              
196nbr,Hundeshagen                             
197nbr,Hausen                                  
198nbr,Gerterode                               
199nbr,Deuna                                   
200nbr,Kleinbartloff                           
201nbr,Reifenstein                             
202nbr,Vollenborn                              
203nbr,Osterwald                               
204nbr,Ingelheim                               
205nbr,Heidesheim                              
206nbr,Wackernheim                             
207nbr,Innenstadt                              
208nbr,Gschwendt                               
209nbr,Unterlohe                               
210nbr,Fürnsbach                               
211nbr,Halden                                  
212nbr,Mindeltal                               
213nbr,Maierhof                                
214nbr,Mayerhof                                
215nbr,Markt Höchberg                          
216nbr,Schmiedefeld                            
217nbr,Gehlberg                                
218nbr,Stadt Schleusingen                      
219nbr,Vesser                                  
220nbr,Dietzhausen                             
221nbr,Wichtshausen                            
222nbr,Albrechts                               
223nbr,Gemeinde Suhl                                
224nbr,Wasungen                                
225nbr,Metzels                                 
226nbr,Oepfershausen                           
227nbr,Hümpfershausen                          
228nbr,Wahns                                   
229nbr,Unterkatz                               
230nbr,Dörrensolz                              
231nbr,Mittelsdorf                             
232nbr,Großbreitenbach                         
233nbr,Allersdorf                              
234nbr,Friedersdorf                            
235nbr,Böhlen                                  
236nbr,Altenfeld                               
237nbr,Gillersdorf                             
238nbr,Wildenspring                            
239nbr,Neustadt                                
240nbr,Herschdorf                              
241nbr,Willmersdorf                            
242nbr,Schleusingen                            
243nbr,Altenbeichlingen                        
244nbr,Beichlingen                             
245nbr,Lindigshof                              
246nbr,Marksuhl                                
247nbr,Burkhardtroda                           
248nbr,Förtha                                  
249nbr,Wolfsburg-Unkeroda                      
250nbr,Eckardtshausen                          
251nbr,Egalort
252nbr,Wurschtegal
253nbr,Lebecksmühle
254nbr,Ober-Klingen
255nbr,Reichmannsdorf
256nbr,Gösselsdorf
257nbr,Kohlbacher Hof
258nbr,Struxdorf
259nbr,Ekebergkrug
260nbr,Kränzlin
261nbr,Schanzermühle
262nbr,Schanzerhof
263nbr,Sand
264nbr,Gemeinde Walsrode
265nbr,Gemeinde Ilmenau
266nbr,Gemeinde Handorf
267nbr,Wittorf
268nbr,Hof
269nbr,Klein Schwansee
270nbr,Wartesstation
271nbr,Altlußheim
272nbr,Höchberg
273nbr,Frankenwarte
274nbr,Falkenstein
275nbr,Wambacherhof
276nbr,Test1
277nbr,Test2
278nbr,Biehla
279nbr,Brauna
280nbr,Cunnersdorf
281nbr,Hausdorf
282nbr,Liebenau
283nbr,Petershain
284nbr,Rohrbach
285nbr,Schwosdorf
286nbr,Schönbach
287nbr,Knappensee-Koblenz
288nbr,Groß Särchen
289nbr,Neu Buchwalde
290nbr,Altkirchen
291nbr,Burkersdorf
292nbr,Dobra
293nbr,Drogen
294nbr,Gimmel
295nbr,Graicha
296nbr,Großbraunshain
297nbr,Großtauschwitz
298nbr,Gödissa
299nbr,Göldschen
300nbr,Hartroda
301nbr,Illsitz
302nbr,Jauern
303nbr,Kakau
304nbr,Kleintauschwitz
305nbr,Kratschütz
306nbr,Lohma
307nbr,Lumpzig
308nbr,Mohlis
309nbr,Nöbdenitz
310nbr,Platschütz
311nbr,Röthenitz
312nbr,Trebula
313nbr,Untschen
314nbr,Wildenbörten
315nbr,Zagkwitz
316nbr,Pilsenhöhe
317nbr,Voigtstedt
318nbr,Heygendorf
319nbr,Ringleben
320nbr,Ichstedt
321nbr,Roßleben
322nbr,Nausitz
323nbr,Schönewerda
324nbr,Bottendorf
325nbr,Donndorf
326nbr,Garnbach
327nbr,Hechendorf
328nbr,Kleinroda
329nbr,Kloster
330nbr,Langenroda
331nbr,Wiehe
332nbr,Blankenstein
333nbr,Pottiga
334nbr,Neundorf
335nbr,Blankenberg
336nbr,Birkenhügel
337nbr,Harra
338nbr,Kießling
339nbr,Lemnitzhammer
340nbr,Schlegel
341nbr,Seibis
342nbr,Bucha
343nbr,Ammelstädt
344nbr,Breitenheerda
345nbr,Eschdorf
346nbr,Geitersdorf
347nbr,Haufeld
348nbr,Heilsberg
349nbr,Milbitz
350nbr,Remda
351nbr,Sundremda
352nbr,Teichel
353nbr,Teichröda
354nbr,Treppendorf
355nbr,Tännich
356nbr,Barigau
357nbr,Dröbischau
358nbr,Egelsdorf
359nbr,Mankenbach
360nbr,Oberhain
361nbr,Unterhain
362nbr,Bollberg
363nbr,Dorna
364nbr,Quirla
365nbr,Stanau
366nbr,Crispendorf
367nbr,Dörflas
368nbr,Erkmannsdorf
369nbr,Crottendorf
370nbr,Walthersdorf
371nbr,Kriebstein
372nbr,Genzkow
373nbr,Duckow
374nbr,Pinnow
375nbr,Klein Roge
376nbr,Neu Rachow
377nbr,Beckenkrug
378nbr,Carolinenhof
379nbr,Varchentin
380nbr,Vietzen
381nbr,Alt Diekhof
382nbr,Drölitz
383nbr,Knegendorf
384nbr,Lissow
385nbr,Lissow-Bau
386nbr,Lüningsdorf
387nbr,Pölitz
388nbr,Striesenow
389nbr,Diekhof
390nbr,Gottesgabe bei Gadebusch
391nbr,Klein Welzin
392nbr,Groß Welzin
393nbr,Rosenhagen
394nbr,Lützow
395nbr,Kaeselow
396nbr,Bendhof
397nbr,Rosenow
398nbr,Jarchow
399nbr,Leppin
400nbr,Marnitz
401nbr,Mooster
402nbr,Drenkow
403nbr,Griebow
404nbr,Mentin
405nbr,Suckow
406nbr,Dorf Poltnitz
407nbr,Hof Poltnitz
408nbr,Malow
409nbr,Poitendorf
410nbr,Tessenow
411nbr,Zachow
412nbr,Stendorf
413nbr,Ahlen
414nbr,Oberrohn
415nbr,Weißendiez
416nbr,Dönges
417nbr,Frauensee
418nbr,Hämbach
419nbr,Knottenhof
420nbr,Möllersgrund
421nbr,Schergeshof
422nbr,Springen
423nbr,Tiefenort
424nbr,Unterrohn
425nbr,Ettenhausen
426nbr,Bernterode
427nbr,Dudenbacherhof
428nbr,Reichenbacherhof
429nbr,Grünbühl/Sonnenberg
430nbr,Gemeinde Frauenneuharting
431nbr,Ast
432nbr,Eichitz
433nbr,Föritz
434nbr,Gefell
435nbr,Heinersdorf
436nbr,Heubisch
437nbr,Jagdshof
438nbr,Judenbach
439nbr,Lindenberg
440nbr,Mogger
441nbr,Mupperg
442nbr,Mönchsberg
443nbr,Neuenbau
444nbr,Neuhaus-Schierschnitz
445nbr,Oerlsdorf
446nbr,Rotheul
447nbr,Rottmar
448nbr,Schwärzdorf
449nbr,Sichelreuth
450nbr,Weidhausen
451nbr,Altendambach
452nbr,Erlau
453nbr,Hirschbach
454nbr,St. Kilian
455nbr,Hinternah
456nbr,Oberrod
457nbr,Schleusingerneundorf
458nbr,Silbach
459nbr,Waldau
460nbr,Breitenbach
461nbr,Springstille
462nbr,Viernau
463nbr,Altersbach
464nbr,Oberschönau
465nbr,Bermbach
466nbr,Rotterode
467nbr,Unterschönau
468nbr,Gompertshausen
469nbr,Bad Colberg
470nbr,Einöd
471nbr,Gellershausen
472nbr,Heldburg
473nbr,Holzhausen
474nbr,Lindenau
475nbr,Völkershausen
476nbr,Albingshausen
477nbr,Hellingen
478nbr,Käßlitz
479nbr,Poppenhausen
480nbr,Rieth
481nbr,Volkmannshausen
482nbr,Friedrichshöhe
483nbr,Saargrund
484nbr,Sachsenbrunn
485nbr,Schirnrod
486nbr,Stelzen
487nbr,Tossenthal
488nbr,Weitesfeld
489nbr,Oehrenstock
490nbr,Langewiesen
491nbr,Annawerk
492nbr,Bücheloh
493nbr,Gräfinau-Angstedt
494nbr,Lehmannsbrück
495nbr,Wümbach
496nbr,Möhrenbach
